"ID","Name","Pos","Team","Price","xPts 1","xMin 1","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts GW1-38"
"26","Saliba","DEF","ARS","4.5","1.47","NaN","1.49","NaN","1.53","NaN","1.61","NaN","1.54","NaN","52.65"
"481","Hwang","MID","WOL","6","1.41","NaN","1.47","NaN","1.21","NaN","1.37","NaN","1.41","NaN","50.84"
"178","Coleman","DEF","EVE","4.5","1.40","NaN","1.45","NaN","1.97","NaN","1.57","NaN","1.53","NaN","58.06"
"104","Gross","MID","BHA","5.5","1.31","NaN","1.44","NaN","1.36","NaN","1.63","NaN","1.42","NaN","53.36"
"290","Konate","DEF","LIV","5","1.19","NaN","1.42","NaN","0.97","NaN","1.46","NaN","1.33","NaN","46.11"
"11","Nketiah","FWD","ARS","7","1.22","NaN","1.41","NaN","1.37","NaN","1.44","NaN","1.35","NaN","49.43"
"157","Clyne","DEF","CRY","4.5","2.51","NaN","1.37","NaN","2.88","NaN","1.27","NaN","3.09","NaN","96.99"
"431","Lucas Moura","MID","TOT","6","1.74","NaN","1.37","NaN","1.67","NaN","1.61","NaN","1.52","NaN","59.58"
"89","Wissa","MID","BRE","5.5","1.32","NaN","1.37","NaN","1.36","NaN","1.45","NaN","1.28","NaN","50.74"
"341","Wan-Bissaka","DEF","MUN","4.5","1.51","NaN","1.36","NaN","0.96","NaN","1.36","NaN","1.22","NaN","50.72"
"135","Ziyech","MID","CHE","6","1.35","NaN","1.32","NaN","1.44","NaN","1.46","NaN","1.39","NaN","51.66"
"267","Soyuncu","DEF","LEI","4.5","2.02","NaN","1.31","NaN","2.03","NaN","1.20","NaN","1.58","NaN","63.13"
"239","Firpo","DEF","LEE","4.5","1.62","NaN","1.29","NaN","1.11","NaN","1.19","NaN","1.59","NaN","47.10"
"62","Kieffer Moore","FWD","BOU","5.5","1.58","NaN","1.29","NaN","1.51","NaN","1.34","NaN","1.62","NaN","57.93"
"166","Edouard","FWD","CRY","5.5","1.50","NaN","1.29","NaN","1.59","NaN","1.23","NaN","1.64","NaN","58.13"
"235","Struijk","DEF","LEE","4.5","1.62","NaN","1.28","NaN","1.08","NaN","1.18","NaN","1.57","NaN","46.32"
"93","Onyeka","MID","BRE","5","1.23","NaN","1.27","NaN","1.26","NaN","1.34","NaN","1.23","NaN","47.78"
"61","Lowe","MID","BOU","5.5","1.56","NaN","1.26","NaN","1.48","NaN","1.30","NaN","1.61","NaN","56.94"
"85","Henry","DEF","BRE","4.5","1.19","NaN","1.24","NaN","1.29","NaN","1.56","NaN","1.35","NaN","48.62"
"471","Ben Johnson","DEF","WHU","4.5","0.76","NaN","1.20","NaN","1.24","NaN","1.04","NaN","0.96","NaN","41.31"
"221","Cooper","DEF","LEE","4.5","1.59","NaN","1.19","NaN","1.01","NaN","1.11","NaN","1.53","NaN","43.35"
"44","Konsa","DEF","AVL","4.5","1.06","NaN","1.19","NaN","1.01","NaN","1.05","NaN","0.76","NaN","36.18"
"107","March","MID","BHA","5","1.09","NaN","1.18","NaN","1.12","NaN","1.29","NaN","1.16","NaN","43.73"
"175","Johnstone","GK","CRY","4.5","1.36","NaN","1.16","NaN","1.44","NaN","1.14","NaN","1.53","NaN","52.36"
"365","Murphy","MID","NEW","4.5","1.33","NaN","1.14","NaN","1.05","NaN","1.19","NaN","1.03","NaN","45.57"
"101","Lallana","MID","BHA","5","1.05","NaN","1.12","NaN","1.08","NaN","1.20","NaN","1.10","NaN","41.81"
"391","Surridge","FWD","NFO","5","0.99","NaN","1.10","NaN","1.04","NaN","1.03","NaN","0.89","NaN","39.66"
"490","Chiquinho","MID","WOL","5","1.03","NaN","1.09","NaN","0.88","NaN","1.01","NaN","1.03","NaN","37.33"
"334","Telles","DEF","MUN","5","1.18","NaN","1.08","NaN","0.82","NaN","1.09","NaN","1.00","NaN","40.62"
"380","Taylor","FWD","NFO","4.5","1.00","NaN","1.07","NaN","1.03","NaN","1.02","NaN","0.93","NaN","39.15"
"148","Gallagher","MID","CHE","6","1.07","NaN","1.04","NaN","1.13","NaN","1.15","NaN","1.10","NaN","40.85"
"144","Hudson-Odoi","MID","CHE","5.5","1.06","NaN","1.03","NaN","1.12","NaN","1.14","NaN","1.10","NaN","40.54"
"9","Pepe","MID","ARS","5.5","0.92","NaN","1.03","NaN","1.01","NaN","1.06","NaN","1.00","NaN","36.67"
"296","Carvalho","MID","LIV","5.5","0.98","NaN","1.00","NaN","0.92","NaN","1.11","NaN","0.99","NaN","37.16"
"224","Forshaw","MID","LEE","4.5","1.01","NaN","0.97","NaN","0.94","NaN","0.94","NaN","1.01","NaN","36.58"
