Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
C.Doucouré,514,CRY,MID,5.0,1.0,1.87,0.04,0.97
Lewis,372,NEW,DEF,4.5,2.3,0.33,0.27,0.9666666666666666
Leno,2,ARS,GK,4.5,2.7,0.04,0.14,0.9600000000000001
Arrizabalaga,133,CHE,GK,4.5,2.7,0.13,0.04,0.9566666666666667
Lallana,101,BHA,MID,5.0,1.0,1.05,0.81,0.9533333333333333
Lyanco,413,SOU,DEF,4.5,1.3,0.64,0.91,0.95
Richarlison,454,TOT,FWD,8.5,0.0,2.81,0.0,0.9366666666666666
Tavares,17,ARS,DEF,4.5,2.3,0.23,0.28,0.9366666666666665
Elneny,4,ARS,MID,4.5,1.5,0.28,1.01,0.9299999999999999
Robinson,217,FUL,DEF,4.5,0.3,1.56,0.93,0.9299999999999999
Manquillo,363,NEW,DEF,4.5,2.3,0.21,0.26,0.9233333333333331
Ghoddos,87,BRE,MID,5.0,1.5,0.42,0.82,0.9133333333333332
Dasilva,83,BRE,MID,4.5,1.0,0.32,1.39,0.9033333333333333
S.Longstaff,370,NEW,MID,4.5,1.5,0.65,0.55,0.9
Skipp,441,TOT,MID,4.5,1.5,0.36,0.84,0.8999999999999999
Krafth,364,NEW,DEF,4.5,2.3,0.11,0.29,0.8999999999999999
Ramsay,298,LIV,DEF,4.0,2.5,0.17,0.03,0.8999999999999999
Bech,91,BRE,DEF,4.5,1.8,0.04,0.85,0.8966666666666666
Lindelöf,337,MUN,DEF,4.5,2.3,0.08,0.3,0.8933333333333332
Broja,150,CHE,FWD,5.5,2.0,0.21,0.46,0.8899999999999999
Ampadu,151,CHE,DEF,4.5,2.3,0.35,0.02,0.8899999999999999
Kelleher,289,LIV,GK,4.0,2.5,0.1,0.06,0.8866666666666667
Cundle,485,WOL,MID,4.5,1.5,0.32,0.81,0.8766666666666666
Ritchie,350,NEW,DEF,4.5,2.3,0.25,0.07,0.8733333333333332
Xande Silva,390,NFO,MID,5.0,1.0,0.23,1.38,0.8699999999999999
Phillips,501,LIV,DEF,4.0,2.5,0.08,0.0,0.86
Vlasic,466,WHU,MID,5.0,0.5,0.6,1.45,0.8499999999999999
Townsend,179,EVE,MID,5.5,0.0,2.23,0.31,0.8466666666666667
Hause,38,AVL,DEF,4.5,2.3,0.08,0.14,0.84
Adrián,497,LIV,GK,4.0,2.5,0.01,0.0,0.8366666666666666
Van den Berg,500,LIV,DEF,4.0,2.5,0.0,0.0,0.8333333333333333
Bella-Kotchap,423,SOU,DEF,4.5,1.3,0.89,0.28,0.8233333333333333
Maitland-Niles,21,ARS,MID,5.0,2.0,0.25,0.2,0.8166666666666667
Davis,52,AVL,FWD,5.5,2.0,0.2,0.25,0.8166666666666667
Duffy,105,BHA,DEF,4.5,1.3,0.65,0.46,0.8033333333333333
Fernández,351,NEW,DEF,4.5,2.3,0.01,0.1,0.8033333333333332
